,tile_id,SC1,SC2,SC3,SC4,SC5,SC6,SC7
199,45_29,0.29,0.6717,0.8296,0.9072,0.9224,0.927,0.93
200,45_30,0.275,0.9311,0.959,0.9794,0.9867,0.9906,0.992
201,45_32,0.245,0.744,0.8465,0.907,0.9335,0.9462,0.9515
202,45_33,0.146,0.7587,0.8691,0.9314,0.9521,0.9632,0.969
203,45_34,0.232,0.8504,0.914,0.9442,0.9571,0.9662,0.971
204,45_35,0.3,0.3,0.3,0.5,0.5699,0.6,0.7775
205,46_28,0.4089,0.6246,0.8109,0.8628,0.864,0.864,0.8745
206,46_29,0.312,0.6507,0.7443,0.7834,0.8092,0.8254,0.8355
207,46_30,0.224,0.7965,0.8742,0.9208,0.9371,0.9462,0.951
208,46_31,0.296,0.8903,0.925,0.9472,0.9628,0.9748,0.981
209,46_33,0.191,0.9316,0.9649,0.9804,0.9857,0.9896,0.992
210,46_34,0.152,0.6754,0.7812,0.8556,0.8899,0.9104,0.92
211,46_35,0.113,0.3592,0.5585,0.7346,0.8004,0.8368,0.8595
212,47_29,0.242,0.688,0.7901,0.8726,0.8985,0.906,0.9075
213,47_30,0.2829,0.8518,0.9034,0.936,0.9473,0.9536,0.958
214,47_34,0.442,0.5883,0.645,0.681,0.709,0.731,0.7635
215,47_35,0.1429,0.6986,0.8009,0.8828,0.9266,0.9526,0.966
216,47_7,0.306,0.9051,0.9436,0.97,0.9814,0.9866,0.989
217,47_8,0.163,0.6694,0.7859,0.8616,0.9017,0.9332,0.952
218,47_9,0.206,0.3513,0.4598,0.615,0.7206,0.776,0.831
219,48_29,0.237,0.7064,0.8187,0.9074,0.9385,0.9548,0.9635
220,48_30,0.39,0.39,0.519,0.545,0.545,0.545,0.59
221,48_35,0.242,0.6468,0.7461,0.8262,0.8636,0.8906,0.9045
222,48_7,0.235,0.7619,0.8542,0.9216,0.9522,0.9688,0.9745
223,49_28,0.304,0.6139,0.7672,0.825,0.853,0.881,0.907
224,49_29,0.337,0.873,0.9188,0.9422,0.9541,0.9606,0.963
225,49_30,0.227,0.227,0.406,0.6228,0.714,0.7822,0.847
226,49_35,0.1429,0.5238,0.6746,0.7922,0.8445,0.876,0.896
227,49_7,0.177,0.5865,0.7516,0.8814,0.9216,0.9378,0.9455
228,5_24,0.165,0.7911,0.8849,0.9328,0.9511,0.9638,0.97
229,50_31,0.25,0.25,0.25,0.417,0.475,0.5,0.64
230,50_35,0.226,0.6104,0.7314,0.8174,0.8492,0.8674,0.877
231,50_8,0.105,0.4353,0.6033,0.7538,0.8204,0.859,0.8825
232,50_9,0.095,0.095,0.1805,0.2668,0.381,0.476,0.681
233,51_10,0.133,0.133,0.133,0.133,0.267,0.267,0.5535
234,51_11,0.429,0.429,0.429,0.5709,0.5709,0.5709,0.6915
235,51_25,0.437,0.5859,0.6375,0.7174,0.7904,0.8324,0.8725
236,51_26,0.472,0.7481,0.834,0.9114,0.9412,0.9584,0.9695
237,51_27,0.125,0.3087,0.4371,0.5948,0.6889,0.756,0.825
238,51_28,0.32,0.5959,0.71,0.7443,0.7594,0.7728,0.785
239,51_34,0.293,0.4649,0.6545,0.7724,0.821,0.8378,0.85
240,51_35,0.254,0.444,0.5926,0.7878,0.891,0.916,0.9235
241,51_9,0.091,0.1689,0.2378,0.353,0.4341,0.4838,0.5135
242,52_15,0.167,0.167,0.167,0.167,0.333,0.333,0.6719
243,52_16,0.257,0.6294,0.7218,0.7846,0.8313,0.8728,0.9015
244,52_24,0.182,0.182,0.312,0.4,0.4828,0.519,0.5814
245,52_25,0.244,0.376,0.4505,0.519,0.5524,0.578,0.616
246,52_28,0.371,0.371,0.586,0.7,0.7772,0.8,0.8615
247,53_10,0.636,0.636,0.727,0.727,0.727,0.727,0.7715
248,53_14,0.1,0.1,0.1,0.2,0.2699,0.3,0.5225
249,53_15,0.364,0.364,0.364,0.591,0.718,0.782,0.861
250,53_23,0.114,0.114,0.114,0.229,0.343,0.457,0.6975
251,54_13,0.2859,0.2859,0.2859,0.529,0.729,0.886,1.0
252,54_14,0.458,0.458,0.6461,0.7334,0.792,0.833,0.918
253,55_13,0.235,0.5112,0.6512,0.7692,0.8283,0.854,0.8715
254,56_11,0.291,0.291,0.291,0.473,0.582,0.655,0.8075
255,56_16,0.0709,0.0709,0.1429,0.214,0.3356,0.429,0.5895
256,56_23,0.1429,0.1429,0.2456,0.3258,0.4,0.429,0.5115
257,57_11,0.4,0.4,0.4,0.629,0.743,0.8,0.9125
258,57_25,0.237,0.4013,0.534,0.711,0.7765,0.808,0.8505
259,57_26,0.321,0.321,0.554,0.711,0.8419,0.875,1.0
260,6_12,0.708,0.7954,0.8135,0.843,0.8725,0.9016,0.9415
261,6_33,0.316,0.7035,0.7986,0.8736,0.9109,0.9318,0.9424
262,60_1,0.364,0.364,0.364,0.591,0.718,0.782,0.861
263,60_19,0.5729,0.6699,0.6919,0.7161,0.7413,0.761,0.79
264,60_24,0.294,0.5842,0.7531,0.8526,0.8933,0.9082,0.9155
265,60_25,0.356,0.5127,0.634,0.7066,0.7714,0.8352,0.915
266,61_1,0.452,0.452,0.726,0.879,0.978,1.0,1.0
267,61_18,0.461,0.461,0.679,0.8506,0.914,0.9632,1.0
268,61_19,0.404,0.7873,0.859,0.9162,0.9351,0.9426,0.9475
269,61_22,0.439,0.6655,0.7361,0.8111,0.8455,0.8622,0.8695
270,61_23,0.431,0.717,0.8481,0.9138,0.9267,0.93,0.934
271,63_23,0.615,0.615,0.6843,0.7536,0.846,0.923,1.0
272,65_21,0.144,0.2561,0.358,0.5396,0.6489,0.709,0.776
273,66_20,0.5,0.5,0.5,0.625,0.625,0.625,0.714
274,67_18,0.111,0.111,0.111,0.111,0.222,0.222,0.4695
275,67_19,0.167,0.167,0.167,0.167,0.333,0.333,0.6719
