,tile_id,SC1,SC2,SC3,SC4,SC5,SC6,SC7
229,50_4,0.1719,0.1719,0.277,0.3642,0.391,0.4156,0.46
230,50_5,0.19,0.4268,0.6123,0.7752,0.8547,0.9096,0.9464
231,50_9,0.083,0.083,0.1586,0.2334,0.333,0.417,0.602
232,51_0,0.057,0.057,0.057,0.114,0.171,0.229,0.3635
233,51_18,0.057,0.057,0.114,0.171,0.2688,0.343,0.476
234,51_19,0.357,0.7821,0.8245,0.8626,0.8808,0.8922,0.898
235,51_20,0.081,0.081,0.154,0.278,0.358,0.4232,0.4835
236,51_4,0.255,0.748,0.8631,0.9192,0.9391,0.9538,0.9665
237,51_5,0.228,0.7156,0.8415,0.9076,0.9352,0.9538,0.9665
238,51_9,0.15,0.15,0.15,0.3,0.45,0.6,0.873
239,52_14,0.314,0.4926,0.6073,0.7496,0.843,0.9112,0.9755
240,52_15,0.167,0.167,0.167,0.167,0.333,0.333,0.6719
241,52_20,0.133,0.133,0.133,0.267,0.4,0.533,0.796
242,52_3,0.3439,0.8085,0.9014,0.942,0.9588,0.9698,0.9745
243,52_4,0.273,0.9655,0.9855,0.99,0.9917,0.992,0.992
244,52_7,0.14,0.253,0.349,0.4946,0.604,0.66,0.712
245,52_8,0.184,0.6641,0.7886,0.8804,0.9166,0.9364,0.9464
246,52_9,0.333,0.333,0.333,0.583,0.6998,0.75,0.9075
247,53_4,0.316,0.8889,0.9275,0.956,0.9708,0.9802,0.9855
248,53_5,0.33,0.9185,0.9431,0.9634,0.9734,0.9786,0.9805
249,53_6,0.182,0.711,0.8206,0.9092,0.9432,0.9588,0.966
250,53_7,0.112,0.2684,0.3685,0.4808,0.5424,0.5818,0.6105
251,54_10,0.34,0.6486,0.7465,0.849,0.8926,0.9122,0.9235
252,54_2,0.063,0.1209,0.183,0.3356,0.4751,0.5719,0.695
253,54_21,0.167,0.167,0.167,0.167,0.333,0.333,0.6719
254,54_5,0.35,0.35,0.35,0.5,0.5349,0.55,0.664
255,55_0,0.129,0.3235,0.4616,0.6538,0.7366,0.773,0.787
256,55_13,0.24,0.653,0.7764,0.8754,0.9313,0.9606,0.977
257,55_2,0.156,0.2804,0.3851,0.56,0.6901,0.756,0.829
258,55_22,0.111,0.111,0.111,0.111,0.222,0.222,0.4695
259,55_3,0.247,0.5866,0.7509,0.8478,0.8799,0.8922,0.8965
260,55_6,0.382,0.382,0.382,0.471,0.5325,0.559,0.746
261,55_7,0.1739,0.791,0.879,0.9374,0.9588,0.9738,0.983
262,56_0,0.092,0.4286,0.6358,0.8372,0.9167,0.9536,0.9725
263,56_13,0.333,0.5201,0.6335,0.7456,0.807,0.848,0.913
264,56_2,0.057,0.057,0.057,0.114,0.171,0.229,0.3635
265,56_3,0.194,0.8713,0.9353,0.9624,0.9714,0.9772,0.98
266,56_4,0.236,0.8706,0.9358,0.973,0.9827,0.9876,0.991
267,56_5,0.24,0.7349,0.8537,0.9176,0.9424,0.9584,0.967
268,56_8,0.227,0.227,0.406,0.6228,0.714,0.7822,0.847
269,57_23,0.133,0.341,0.5525,0.7564,0.8645,0.923,0.962
270,57_26,0.321,0.7517,0.8546,0.9024,0.9194,0.9298,0.9365
271,57_27,0.2,0.9445,0.9702,0.9826,0.9867,0.9886,0.989
272,57_31,0.207,0.7675,0.8857,0.9463,0.9678,0.9782,0.984
273,57_44,0.167,0.167,0.167,0.167,0.333,0.333,0.6719
274,6_22,0.162,0.162,0.306,0.542,0.6974,0.8366,0.9665
275,7_21,0.149,0.909,0.9546,0.9764,0.9834,0.9866,0.988
276,7_22,0.222,0.8658,0.9337,0.975,0.9857,0.9896,0.991
277,8_19,0.222,0.4941,0.6865,0.7992,0.8545,0.887,0.912
278,8_20,0.192,0.9098,0.9584,0.9796,0.9867,0.99,0.991
279,8_21,0.21,0.9435,0.974,0.9876,0.9917,0.993,0.993
280,9_18,0.295,0.9077,0.9408,0.9652,0.9754,0.9816,0.984
281,9_19,0.277,0.9485,0.9702,0.9836,0.9887,0.9916,0.993
282,9_20,0.45,0.8587,0.9049,0.9442,0.9621,0.9686,0.97
283,9_21,0.276,0.9675,0.9855,0.992,0.994,0.9956,0.997
